Enhanced Marble Language Dataset - Generated on 2025-05-30 21:45:29
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 12
  Wall collisions: 367
  Marble collisions: 435
  Average sentence length: 10.5 tokens

Sentences:
----------------------------------------
1. "I white marble move east bump into top"
2. "I orange marble move west bump into left then black marble move south"
3. "I yellow marble move east bump into right then purple marble move south"
4. "I yellow marble move west bump into white marble"
5. "I yellow marble move south then black marble move west"
6. "I cyan marble move north bump into white marble"
7. "I yellow marble move east bump into blue marble"
8. "I orange marble move east bump into white marble"
9. "I cyan marble move west bump into orange marble"
10. "I orange marble move west bump into brown marble"
11. "I red marble move north bump into gray marble then purple marble move east"
12. "I cyan marble move north bump into green marble then gray marble move east"
13. "I purple marble move south bump into right then green marble move south"
14. "I gray marble move north then yellow marble move south"
15. "I brown marble move west bump into right then blue marble move north"
16. "I pink marble move west bump into gray marble then red marble move west"
17. "I brown marble move east bump into bottom then white marble move south"
18. "I cyan marble move south then white marble move north"
19. "I green marble move south bump into yellow marble"
20. "I gray marble move south bump into left"
21. "I blue marble move north"
22. "I red marble move south bump into right then white marble move east"
23. "I green marble move north bump into left then orange marble move west"
24. "I pink marble move south then blue marble move east"
25. "I black marble move north bump into purple marble then blue marble move south"
26. "I cyan marble move north bump into brown marble"
27. "I blue marble move east bump into green marble"
28. "I pink marble move north bump into right"
29. "I purple marble move west bump into yellow marble"
30. "I brown marble move east bump into red marble then blue marble move north"
31. "I green marble move south then brown marble move south"
32. "I blue marble move west bump into left"
33. "I black marble move south"
34. "I gray marble move east then red marble move west"
35. "I gray marble move west bump into red marble then green marble move west"
36. "I blue marble move east bump into top then red marble move north"
37. "I gray marble move north then cyan marble move south"
38. "I brown marble move south bump into black marble"
39. "I gray marble move south then purple marble move east"
40. "I red marble move east"
41. "I gray marble move east bump into blue marble"
42. "I blue marble move south bump into orange marble"
43. "I red marble move north"
44. "I red marble move west bump into white marble"
45. "I cyan marble move south then white marble move east"
46. "I green marble move north bump into left"
47. "I pink marble move east bump into left"
48. "I green marble move east bump into right"
49. "I blue marble move south then red marble move south"
50. "I purple marble move north then black marble move west"
51. "I gray marble move north"
52. "I gray marble move east then yellow marble move north"
53. "I gray marble move west then yellow marble move north"
54. "I green marble move west bump into bottom then purple marble move south"
55. "I pink marble move east then purple marble move north"
56. "I orange marble move north bump into cyan marble then red marble move east"
57. "I orange marble move south bump into bottom then yellow marble move north"
58. "I red marble move east bump into bottom"
59. "I gray marble move west bump into pink marble"
60. "I pink marble move north bump into bottom then white marble move west"
61. "I black marble move east bump into right"
62. "I yellow marble move north bump into bottom"
63. "I gray marble move west bump into right"
64. "I blue marble move south bump into bottom"
65. "I pink marble move south bump into left"
66. "I red marble move west bump into bottom then cyan marble move east"
67. "I cyan marble move east bump into bottom"
68. "I gray marble move north bump into bottom"
69. "I red marble move south bump into top"
70. "I green marble move west bump into black marble then cyan marble move east"
71. "I green marble move west bump into left"
72. "I gray marble move east bump into yellow marble then brown marble move west"
73. "I blue marble move south bump into cyan marble"
74. "I pink marble move north then blue marble move east"
75. "I gray marble move north bump into orange marble"
76. "I orange marble move west bump into blue marble then cyan marble move west"
77. "I brown marble move south bump into right"
78. "I cyan marble move north bump into top then yellow marble move north"
79. "I white marble move west bump into right then purple marble move north"
80. "I green marble move south bump into bottom then white marble move north"
81. "I purple marble move south"
82. "I orange marble move east"
83. "I yellow marble move south bump into pink marble then cyan marble move north"
84. "I purple marble move north bump into white marble then cyan marble move east"
85. "I yellow marble move west bump into brown marble"
86. "I purple marble move south bump into bottom then white marble move west"
87. "I white marble move east bump into bottom then purple marble move south"
88. "I purple marble move north bump into yellow marble"
89. "I green marble move north then blue marble move south"
90. "I purple marble move east bump into black marble then yellow marble move south"
91. "I orange marble move north bump into pink marble"
92. "I white marble move south then purple marble move west"
93. "I purple marble move east bump into brown marble"
94. "I yellow marble move east bump into left then black marble move north"
95. "I white marble move north"
96. "I purple marble move south then cyan marble move north"
97. "I green marble move west then yellow marble move north"
98. "I orange marble move south bump into right"
99. "I white marble move west bump into bottom then green marble move west"
100. "I gray marble move north bump into pink marble then yellow marble move south"
101. "I white marble move east bump into red marble then cyan marble move south"
102. "I cyan marble move east bump into right"
103. "I white marble move west bump into left then gray marble move south"
104. "I gray marble move north bump into bottom then black marble move north"
105. "I blue marble move south bump into brown marble"
106. "I brown marble move north bump into right then purple marble move east"
107. "I brown marble move south bump into green marble"
108. "I pink marble move south bump into yellow marble"
109. "I gray marble move south bump into brown marble"
110. "I gray marble move north bump into white marble then brown marble move west"
111. "I blue marble move east bump into yellow marble then gray marble move west"
112. "I brown marble move south bump into pink marble"
113. "I orange marble move north"
114. "I white marble move north bump into left then cyan marble move south"
115. "I black marble move north bump into left then orange marble move west"
116. "I cyan marble move south bump into blue marble"
117. "I brown marble move east bump into left then black marble move south"
118. "I purple marble move west bump into left then brown marble move east"
119. "I purple marble move east bump into black marble then orange marble move south"
120. "I green marble move south bump into brown marble then gray marble move east"
121. "I cyan marble move north"
122. "I cyan marble move south bump into green marble then red marble move south"
123. "I blue marble move south bump into pink marble then yellow marble move north"
124. "I yellow marble move south bump into right"
125. "I red marble move north bump into yellow marble"
126. "I pink marble move north bump into bottom then orange marble move south"
