Enhanced Marble Language Dataset - Generated on 2025-05-30 23:41:03
================================================================================

Dataset Statistics:
  Total sentences: 90
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 6.6 tokens

Sentences:
----------------------------------------
1. "I lime move south then lime move south"
2. "I blue move west"
3. "I purple move north"
4. "I white move west bump right then white move north"
5. "I white still bump right"
6. "I navy still bump right"
7. "I black still bump left"
8. "I gold move east"
9. "I lime move east then lime move north"
10. "I purple move west bump right"
11. "I coral move south bump left"
12. "I navy move south"
13. "I pink move south bump bottom"
14. "I navy move south bump right"
15. "I yellow move west bump top I violet"
16. "I silver still bump top I indigo then indigo move west"
17. "I coral move east bump top I cyan"
18. "I cyan still"
19. "I indigo move east bump top I purple"
20. "I white move east then white move north"
21. "I gold move east then gold move east"
22. "I orange move north bump right"
23. "I blue move north bump left then blue move west"
24. "I teal still bump right"
25. "I orange still bump top I gray then gray move west"
26. "I violet still bump bottom"
27. "I black still"
28. "I purple move south then purple move south"
29. "I red move east"
30. "I gold move south bump left then gold move east"
31. "I lime still bump right"
32. "I purple still bump right"
33. "I black move south bump right"
34. "I lime move south then lime move south"
35. "I navy move south then navy move north"
36. "I green move east bump top I gold then gold move south"
37. "I white move west bump top I red then red move west"
38. "I teal move south bump left"
39. "I purple move south bump top I black then black move east"
40. "I gold move east then gold move south"
41. "I gold move west bump right then gold move south"
42. "I gray still bump top I lime"
43. "I brown move north bump left then brown move north"
44. "I blue move west bump left"
45. "I gold move west bump right"
46. "I gold move west bump bottom"
47. "I red move north bump bottom"
48. "I black move east bump left"
49. "I navy move east bump bottom"
50. "I cyan move west then cyan move west"
51. "I black still bump right then black move east"
52. "I brown move east"
53. "I blue move south bump bottom"
54. "I black move east"
55. "I cyan move south bump left"
56. "I teal still bump left"
57. "I cyan still bump right"
58. "I cyan move west"
59. "I brown move north bump bottom"
60. "I black move west bump right"
61. "I teal move east bump left"
62. "I cyan move north"
63. "I lime move south bump left"
64. "I cyan move south"
65. "I cyan move south bump left then cyan move west"
66. "I black still bump top I teal then teal move south"
67. "I cyan move east bump left then cyan move north"
68. "I lime still bump left"
69. "I teal move south bump top I cyan then cyan move east"
70. "I lime still"
71. "I cyan move north then cyan move east"
72. "I cyan move south bump right then cyan move south"
73. "I cyan move north"
74. "I cyan move south bump left"
75. "I lime still bump left"
76. "I cyan move south then cyan move east"
77. "I lime move south bump right"
78. "I lime move north bump left"
79. "I cyan move north"
80. "I cyan still bump left"
81. "I cyan move east then cyan move north"
82. "I lime move west bump left"
83. "I cyan still"
84. "I cyan still bump top I lime"
85. "I lime move north bump right"
86. "I lime move north bump right"
87. "I lime move east bump left"
88. "I lime move east"
89. "I lime move south"
90. "I lime still bump bottom"

Total sentences: 90

Raw array format:
['I lime move south then lime move south', 'I blue move west', 'I purple move north', 'I white move west bump right then white move north', 'I white still bump right', 'I navy still bump right', 'I black still bump left', 'I gold move east', 'I lime move east then lime move north', 'I purple move west bump right', 'I coral move south bump left', 'I navy move south', 'I pink move south bump bottom', 'I navy move south bump right', 'I yellow move west bump top I violet', 'I silver still bump top I indigo then indigo move west', 'I coral move east bump top I cyan', 'I cyan still', 'I indigo move east bump top I purple', 'I white move east then white move north', 'I gold move east then gold move east', 'I orange move north bump right', 'I blue move north bump left then blue move west', 'I teal still bump right', 'I orange still bump top I gray then gray move west', 'I violet still bump bottom', 'I black still', 'I purple move south then purple move south', 'I red move east', 'I gold move south bump left then gold move east', 'I lime still bump right', 'I purple still bump right', 'I black move south bump right', 'I lime move south then lime move south', 'I navy move south then navy move north', 'I green move east bump top I gold then gold move south', 'I white move west bump top I red then red move west', 'I teal move south bump left', 'I purple move south bump top I black then black move east', 'I gold move east then gold move south', 'I gold move west bump right then gold move south', 'I gray still bump top I lime', 'I brown move north bump left then brown move north', 'I blue move west bump left', 'I gold move west bump right', 'I gold move west bump bottom', 'I red move north bump bottom', 'I black move east bump left', 'I navy move east bump bottom', 'I cyan move west then cyan move west', 'I black still bump right then black move east', 'I brown move east', 'I blue move south bump bottom', 'I black move east', 'I cyan move south bump left', 'I teal still bump left', 'I cyan still bump right', 'I cyan move west', 'I brown move north bump bottom', 'I black move west bump right', 'I teal move east bump left', 'I cyan move north', 'I lime move south bump left', 'I cyan move south', 'I cyan move south bump left then cyan move west', 'I black still bump top I teal then teal move south', 'I cyan move east bump left then cyan move north', 'I lime still bump left', 'I teal move south bump top I cyan then cyan move east', 'I lime still', 'I cyan move north then cyan move east', 'I cyan move south bump right then cyan move south', 'I cyan move north', 'I cyan move south bump left', 'I lime still bump left', 'I cyan move south then cyan move east', 'I lime move south bump right', 'I lime move north bump left', 'I cyan move north', 'I cyan still bump left', 'I cyan move east then cyan move north', 'I lime move west bump left', 'I cyan still', 'I cyan still bump top I lime', 'I lime move north bump right', 'I lime move north bump right', 'I lime move east bump left', 'I lime move east', 'I lime move south', 'I lime still bump bottom']
