Enhanced Marble Language Dataset - Generated on 2025-05-30 23:38:43
================================================================================

Dataset Statistics:
  Total sentences: 92
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 6.3 tokens

Sentences:
----------------------------------------
1. "I pink still bump bottom"
2. "I orange move west bump top I teal then teal move east"
3. "I brown move north bump top I red"
4. "I silver still bump left then silver move west"
5. "I green still"
6. "I navy move north bump right then navy move south"
7. "I black move south bump top I indigo"
8. "I blue still"
9. "I gold move north"
10. "I violet move west bump top I lime"
11. "I white move west"
12. "I gold move east"
13. "I coral move north then coral move north"
14. "I yellow move south bump top I navy then navy move north"
15. "I coral move south bump right then coral move north"
16. "I teal move south then teal move west"
17. "I white move south"
18. "I gray move south bump right"
19. "I gray move south then gray move west"
20. "I green move east bump left"
21. "I lime still bump left"
22. "I white move west bump top I green"
23. "I red move west bump left"
24. "I gold still bump right"
25. "I blue still bump left"
26. "I teal move east bump right"
27. "I red move east bump left then red move west"
28. "I lime move north bump bottom"
29. "I gray move north then gray move south"
30. "I purple still bump left"
31. "I cyan still bump right"
32. "I cyan still bump left then cyan move south"
33. "I silver move east then silver move west"
34. "I green move north bump bottom"
35. "I silver move west"
36. "I blue move north bump top I coral then coral move north"
37. "I gray move north bump bottom"
38. "I teal move north"
39. "I silver move north bump right"
40. "I gold move east bump right then gold move south"
41. "I purple move south bump top I cyan"
42. "I gold move east"
43. "I cyan move west"
44. "I indigo move north bump right"
45. "I teal move east bump bottom"
46. "I gold move east"
47. "I cyan move north"
48. "I red still"
49. "I gold still bump left then gold move west"
50. "I coral move north bump left"
51. "I silver move south bump left"
52. "I red move west bump top I gold"
53. "I coral move south bump right then coral move south"
54. "I gold move south bump bottom"
55. "I indigo move west bump right"
56. "I cyan move south"
57. "I coral move east bump right"
58. "I navy move west"
59. "I silver move south bump right"
60. "I silver move east bump left then silver move south"
61. "I indigo still"
62. "I silver move east bump top I indigo"
63. "I coral still bump right"
64. "I coral move west"
65. "I indigo move south bump left"
66. "I indigo move south bump left"
67. "I navy move east then navy move east"
68. "I navy move north bump bottom"
69. "I indigo move south then indigo move north"
70. "I cyan move west bump top I coral"
71. "I indigo still"
72. "I indigo still bump right then indigo move east"
73. "I coral move south"
74. "I coral move north bump right"
75. "I indigo move south bump left"
76. "I indigo move west bump right then indigo move north"
77. "I indigo move north"
78. "I indigo still"
79. "I coral still"
80. "I indigo move east bump right"
81. "I coral move west bump left"
82. "I coral move west bump left"
83. "I indigo still bump left"
84. "I coral still bump left"
85. "I coral move west"
86. "I indigo move west bump left then indigo move west"
87. "I coral move west bump top I indigo"
88. "I indigo move north bump left"
89. "I indigo still bump left"
90. "I indigo still bump left then indigo move west"
91. "I indigo still"
92. "I indigo move west bump bottom"

Total sentences: 92

Raw array format:
['I pink still bump bottom', 'I orange move west bump top I teal then teal move east', 'I brown move north bump top I red', 'I silver still bump left then silver move west', 'I green still', 'I navy move north bump right then navy move south', 'I black move south bump top I indigo', 'I blue still', 'I gold move north', 'I violet move west bump top I lime', 'I white move west', 'I gold move east', 'I coral move north then coral move north', 'I yellow move south bump top I navy then navy move north', 'I coral move south bump right then coral move north', 'I teal move south then teal move west', 'I white move south', 'I gray move south bump right', 'I gray move south then gray move west', 'I green move east bump left', 'I lime still bump left', 'I white move west bump top I green', 'I red move west bump left', 'I gold still bump right', 'I blue still bump left', 'I teal move east bump right', 'I red move east bump left then red move west', 'I lime move north bump bottom', 'I gray move north then gray move south', 'I purple still bump left', 'I cyan still bump right', 'I cyan still bump left then cyan move south', 'I silver move east then silver move west', 'I green move north bump bottom', 'I silver move west', 'I blue move north bump top I coral then coral move north', 'I gray move north bump bottom', 'I teal move north', 'I silver move north bump right', 'I gold move east bump right then gold move south', 'I purple move south bump top I cyan', 'I gold move east', 'I cyan move west', 'I indigo move north bump right', 'I teal move east bump bottom', 'I gold move east', 'I cyan move north', 'I red still', 'I gold still bump left then gold move west', 'I coral move north bump left', 'I silver move south bump left', 'I red move west bump top I gold', 'I coral move south bump right then coral move south', 'I gold move south bump bottom', 'I indigo move west bump right', 'I cyan move south', 'I coral move east bump right', 'I navy move west', 'I silver move south bump right', 'I silver move east bump left then silver move south', 'I indigo still', 'I silver move east bump top I indigo', 'I coral still bump right', 'I coral move west', 'I indigo move south bump left', 'I indigo move south bump left', 'I navy move east then navy move east', 'I navy move north bump bottom', 'I indigo move south then indigo move north', 'I cyan move west bump top I coral', 'I indigo still', 'I indigo still bump right then indigo move east', 'I coral move south', 'I coral move north bump right', 'I indigo move south bump left', 'I indigo move west bump right then indigo move north', 'I indigo move north', 'I indigo still', 'I coral still', 'I indigo move east bump right', 'I coral move west bump left', 'I coral move west bump left', 'I indigo still bump left', 'I coral still bump left', 'I coral move west', 'I indigo move west bump left then indigo move west', 'I coral move west bump top I indigo', 'I indigo move north bump left', 'I indigo still bump left', 'I indigo still bump left then indigo move west', 'I indigo still', 'I indigo move west bump bottom']
