Enhanced Marble Language Dataset - Generated on 2025-05-30 23:39:05
================================================================================

Dataset Statistics:
  Total sentences: 100
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 6.3 tokens

Sentences:
----------------------------------------
1. "I cyan move north bump bottom"
2. "I violet move north bump top I brown then brown move north"
3. "I blue move north bump top I black"
4. "I gold still then gold move east"
5. "I pink move west"
6. "I black move south bump left"
7. "I orange move west bump left"
8. "I brown move west"
9. "I orange move south bump left then orange move west"
10. "I pink still"
11. "I white move east"
12. "I brown move east bump right"
13. "I purple still bump left"
14. "I brown still bump bottom"
15. "I white move north bump top I green then green move south"
16. "I silver move north bump right then silver move west"
17. "I lime move north bump left"
18. "I silver move south"
19. "I lime move north"
20. "I green still"
21. "I green move north"
22. "I red move north bump right"
23. "I gray move east bump bottom"
24. "I orange move west bump bottom"
25. "I gold move east bump right then gold move west"
26. "I black move south bump right"
27. "I silver still then silver move south"
28. "I navy move north bump right"
29. "I lime move east bump top I purple"
30. "I coral move west"
31. "I black move east bump top I navy"
32. "I coral move north bump right"
33. "I teal still bump top I pink then pink move south"
34. "I gold move south bump top I purple"
35. "I pink still bump left"
36. "I indigo still then indigo move south"
37. "I purple still bump bottom"
38. "I indigo still"
39. "I coral move east bump bottom"
40. "I indigo move west then indigo move north"
41. "I yellow still"
42. "I silver still bump right"
43. "I green move north bump left"
44. "I navy move west bump left"
45. "I indigo move north"
46. "I pink move south bump left"
47. "I indigo still bump top I red"
48. "I navy move east"
49. "I pink move west bump top I red"
50. "I green move north"
51. "I yellow move north bump right"
52. "I red move east"
53. "I silver move west bump right"
54. "I silver move south then silver move north"
55. "I green move west bump left then green move west"
56. "I yellow move east bump right"
57. "I yellow move east then yellow move east"
58. "I yellow move west bump left"
59. "I yellow move west bump right then yellow move east"
60. "I navy move north then navy move west"
61. "I navy still bump right"
62. "I navy move east bump left"
63. "I yellow move north"
64. "I red move east"
65. "I silver still"
66. "I navy still bump left"
67. "I red move east bump top I silver"
68. "I yellow move south"
69. "I silver move north bump left then silver move east"
70. "I green move east bump right"
71. "I green move south bump right"
72. "I silver move west bump left"
73. "I yellow move north bump bottom"
74. "I silver move east bump right"
75. "I navy move east bump right"
76. "I navy move east bump right"
77. "I silver move north bump left"
78. "I green move west bump right"
79. "I navy move west bump left then navy move east"
80. "I navy move north"
81. "I navy move south bump right then navy move south"
82. "I silver move south bump left"
83. "I silver move south then silver move north"
84. "I green move east bump top I silver"
85. "I silver move south bump top I navy then navy move east"
86. "I navy move west bump top then navy move east"
87. "I navy move south bump top"
88. "I navy move south bump left"
89. "I navy move south bump right"
90. "I navy still bump right"
91. "I navy move south bump left"
92. "I navy move east"
93. "I navy move north bump top"
94. "I navy move west"
95. "I navy move south bump left"
96. "I navy move west bump right then navy move north"
97. "I navy still bump left"
98. "I navy move north"
99. "I navy still bump right"
100. "I navy move south bump bottom"

Total sentences: 100

Raw array format:
['I cyan move north bump bottom', 'I violet move north bump top I brown then brown move north', 'I blue move north bump top I black', 'I gold still then gold move east', 'I pink move west', 'I black move south bump left', 'I orange move west bump left', 'I brown move west', 'I orange move south bump left then orange move west', 'I pink still', 'I white move east', 'I brown move east bump right', 'I purple still bump left', 'I brown still bump bottom', 'I white move north bump top I green then green move south', 'I silver move north bump right then silver move west', 'I lime move north bump left', 'I silver move south', 'I lime move north', 'I green still', 'I green move north', 'I red move north bump right', 'I gray move east bump bottom', 'I orange move west bump bottom', 'I gold move east bump right then gold move west', 'I black move south bump right', 'I silver still then silver move south', 'I navy move north bump right', 'I lime move east bump top I purple', 'I coral move west', 'I black move east bump top I navy', 'I coral move north bump right', 'I teal still bump top I pink then pink move south', 'I gold move south bump top I purple', 'I pink still bump left', 'I indigo still then indigo move south', 'I purple still bump bottom', 'I indigo still', 'I coral move east bump bottom', 'I indigo move west then indigo move north', 'I yellow still', 'I silver still bump right', 'I green move north bump left', 'I navy move west bump left', 'I indigo move north', 'I pink move south bump left', 'I indigo still bump top I red', 'I navy move east', 'I pink move west bump top I red', 'I green move north', 'I yellow move north bump right', 'I red move east', 'I silver move west bump right', 'I silver move south then silver move north', 'I green move west bump left then green move west', 'I yellow move east bump right', 'I yellow move east then yellow move east', 'I yellow move west bump left', 'I yellow move west bump right then yellow move east', 'I navy move north then navy move west', 'I navy still bump right', 'I navy move east bump left', 'I yellow move north', 'I red move east', 'I silver still', 'I navy still bump left', 'I red move east bump top I silver', 'I yellow move south', 'I silver move north bump left then silver move east', 'I green move east bump right', 'I green move south bump right', 'I silver move west bump left', 'I yellow move north bump bottom', 'I silver move east bump right', 'I navy move east bump right', 'I navy move east bump right', 'I silver move north bump left', 'I green move west bump right', 'I navy move west bump left then navy move east', 'I navy move north', 'I navy move south bump right then navy move south', 'I silver move south bump left', 'I silver move south then silver move north', 'I green move east bump top I silver', 'I silver move south bump top I navy then navy move east', 'I navy move west bump top then navy move east', 'I navy move south bump top', 'I navy move south bump left', 'I navy move south bump right', 'I navy still bump right', 'I navy move south bump left', 'I navy move east', 'I navy move north bump top', 'I navy move west', 'I navy move south bump left', 'I navy move west bump right then navy move north', 'I navy still bump left', 'I navy move north', 'I navy still bump right', 'I navy move south bump bottom']
