Enhanced Marble Language Dataset - Generated on 2025-05-30 23:06:44
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 7.6 tokens

Sentences:
----------------------------------------
1. ""
2. "I purple"
3. "I orange"
4. "I teal still"
5. "I violet move south bump blue move north"
6. "I gold move north bump left"
7. "I cyan move south bump bottom"
8. "I indigo move south bump top I purple"
9. "I violet still"
10. "I blue move south bump top I coral"
11. "I gray move east bump bottom then cyan move west"
12. "I indigo move west bump bottom"
13. "I white move south bump bottom"
14. "I navy move east bump top then violet move east"
15. "I black still"
16. "I pink move west"
17. "I navy move west bump bottom"
18. "I violet move north"
19. "I cyan move north bump top I yellow"
20. "I brown move west"
21. "I gold move south bump bottom"
22. "I cyan move north"
23. "I violet move north bump bottom"
24. "I lime still"
25. "I yellow move south bump bottom"
26. "I red move north bump left then cyan move north"
27. "I red move south bump bottom"
28. "I blue move west bump top I navy"
29. "I gray still"
30. "I cyan move west bump indigo move west"
31. "I black move west"
32. "I purple still"
33. "I green move north"
34. "I blue move north bump right"
35. "I indigo move west"
36. "I navy still"
37. "I cyan move north bump yellow move east"
38. "I red move south bump violet move west"
39. "I red move south bump right"
40. "I gray move south bump bottom"
41. "I lime move east bump top I gold"
42. "I lime move north bump gray move west"
43. "I violet move east"
44. "I gold still"
45. "I orange still"
46. "I red move west bump top"
47. "I yellow move north"
48. "I orange move south bump right then coral move north"
49. "I green move south"
50. "I pink move west bump top I purple"
51. "I yellow move north bump right"
52. "I pink still"
53. "I black move east bump purple move east"
54. "I brown move south bump silver move east"
55. "I pink move east bump top I silver"
56. "I lime move east bump right"
57. "I gray move east bump bottom"
58. "I yellow move south bump gray move south"
59. "I gold move south"
60. "I green still"
61. "I indigo move north bump top I cyan"
62. "I silver move west"
63. "I silver move west bump top I cyan"
64. "I cyan move west"
65. "I orange move north bump bottom"
66. "I indigo move north bump right"
67. "I silver move north bump top then red move south"
68. "I silver move north bump top I green"
69. "I brown still"
70. "I green move north bump right"
71. "I green move east bump top I coral"
72. "I pink move west bump bottom"
73. "I green move north bump bottom then cyan move north"
74. "I teal move west bump right"
