Enhanced Marble Language Dataset - Generated on 2025-05-31 01:34:31
================================================================================

Dataset Statistics:
  Total sentences: 6000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 14.8 tokens

Sentences:
----------------------------------------
1. "I gold born move south bump bottom died | 19 | 19"
2. "I white born move west bump left then white move east then white move north then white move north bump bottom died | 18 | 18"
3. "I blue born move west bump left bump left bump right bump left then blue move east then blue move west | 18"
4. "I yellow born still then yellow move north bump right then yellow move west then yellow move south then yellow move south | 18"
5. "I violet born move west bump left bump right then violet move south bump top bump right bump left bump left | 18"
6. "I red born move north bump top I lime move south bump lime marble move west bump lime marble move south bump lime marble move west | 18"
7. "I violet move east bump right then violet move west bump left then violet move east bump top bump left | 18"
8. "I purple born move south then purple move north then purple move east then purple move south then purple move south | 18"
9. "I coral born move west bump left bump top then coral move north then coral move south bump top bump left | 18"
10. "I orange born move east then orange move south then orange move south then orange move west bump top then orange move east | 18"
11. "I black born move south bump bottom died | 17 | 17"
12. "I orange move west bump left then orange move west bump bottom died | 16 | 16"
13. "I pink born move west bump left then pink move east bump left then pink move west bump left then pink move south | 16"
14. "I red still then red move east bump bottom died | 15 | 15"
15. "I indigo born move west then indigo move east bump top then indigo move north then indigo move north then indigo move south | 15"
16. "I lime born move east bump right then lime move east bump right then lime move north bump bottom died | 14 | 14"
17. "I yellow move east bump right bump bottom died | 13 | 13"
18. "I pink move north then pink move east bump top bump bottom died | 12 | 12"
19. "I purple move north bump top I green move south then green move north then purple move north then purple move south | 12"
20. "I gray born move west then gray move north then gray move south then gray move north then gray move east | 12"
21. "I violet still bump left then violet move north then violet move south then violet move north then violet move north | 12"
22. "I cyan born move west bump left bump right bump bottom died | 11 | 11"
23. "I gray move south bump bottom died | 10 | 10"
24. "I brown born move south then brown move west bump right bump bottom died | 9 | 9"
25. "I purple move south bump bottom died | 8 | 8"
26. "I indigo move north bump top I coral move south then indigo move east then indigo move east then indigo move east | 8"
27. "I green born move west then green move west bump bottom died | 7 | 7"
28. "I teal born move west bump right then teal move west bump right bump bottom died | 6 | 6"
29. "I silver born still bump right then silver move east bump right then silver move south then silver move east | 6"
30. "I blue still bump right then blue move south then blue move south bump right bump right then blue move north | 6"
31. "I lime born | 6"
32. "I navy born move north bump top I silver move south then navy move north then navy move east bump bottom died | 5 | 6"
33. "I brown born | 6"
34. "I lime move south bump bottom died | 5 | 6"
35. "I blue move north bump top I silver move south then blue move east then blue move east bump silver marble move west | 6"
36. "I lime born | 6"
37. "I silver move south bump bottom died | 5 | 6"
38. "I indigo move south then indigo move west bump right bump top bump left bump left bump top then indigo move south | 6"
39. "I coral move west bump right then coral move east then coral move south bump top then coral move north | 6"
40. "I silver born | 6"
41. "I violet move south bump bottom died | 5 | 6"
42. "I yellow born | 6"
43. "I indigo move south bump bottom died | 5 | 6"
44. "I brown move north bump top I coral move south then coral move south bump right then brown move east | 6"
45. "I black born | 6"
46. "I lime move west bump top then lime move west bump right bump top bump top bump left bump bottom died | 5 | 6"
47. "I brown move west bump left bump top then brown move west then brown move north then brown move north | 6"
48. "I red born | 6"
49. "I blue move west bump left then blue move north bump bottom died | 5 | 6"
50. "I indigo born | 6"
51. "I red move east bump right bump bottom died | 5 | 6"
52. "I purple born | 6"
53. "I black move south bump bottom died | 5 | 6"
54. "I silver still bump right then silver move east bump right then silver move east then silver move east then silver move north | 6"
55. "I cyan born | 6"
56. "I brown move south bump bottom died | 5 | 6"
57. "I purple move north bump top I indigo move south then purple move west then purple move east then purple move north | 6"
58. "I indigo move north then indigo move north then indigo move south then indigo move west then indigo move north | 6"
59. "I gold born | 6"
60. "I coral move south bump bottom died | 5 | 6"
61. "I yellow move east bump right then yellow move west then yellow move south bump left bump left then yellow move north | 6"
62. "I orange born | 6"
63. "I yellow still bump left bump bottom died | 5 | 6"
64. "I orange still bump right then orange move north then orange move east then orange move north then orange move south | 6"
65. "I indigo still bump top I silver move south then indigo move north bump silver marble move north bump top bump left | 6"
66. "I indigo born | 6"
67. "I indigo move south bump bottom died | 5 | 6"
68. "I violet born | 6"
69. "I cyan move east bump right bump top bump bottom died | 5 | 6"
70. "I yellow born | 6"
71. "I violet move south bump bottom died | 5 | 6"
72. "I cyan born | 6"
73. "I indigo still bump bottom died | 5 | 6"
74. "I indigo born | 6"
75. "I yellow move south bump bottom died | 5 | 6"
76. "I purple move west bump left then purple move east then purple move north then purple move south then purple move north | 6"
77. "I silver move north bump top I orange move south then orange move east then silver move west then silver move west | 6"
78. "I orange born | 6"
79. "I orange move south bump bottom died | 5 | 6"
80. "I indigo move east bump right then indigo move west then indigo move west bump left bump left then indigo move south | 6"
81. "I teal born | 6"
82. "I gold move west bump left bump bottom died | 5 | 6"
83. "I navy born | 6"
84. "I teal move south bump bottom died | 5 | 6"
85. "I orange move south then orange move west bump top then orange move south then orange move south then orange move west | 6"
86. "I gold born | 6"
87. "I orange move south bump bottom died | 5 | 6"
88. "I yellow born | 6"
89. "I purple move south bump bottom died | 5 | 6"
90. "I blue born | 6"
91. "I yellow move south bump bottom died | 5 | 6"
92. "I navy move west bump left then navy move north bump top then navy move west bump right bump right | 6"
93. "I gray born | 6"
94. "I blue move east bump right then blue move east bump right bump bottom died | 5 | 6"
95. "I gold still then gold move south bump left bump top then gold move west bump top bump right then gold move east | 6"
96. "I gray move north bump top I cyan move south bump cyan marble move west bump left then gray move north | 6"
97. "I white born | 6"
98. "I cyan move north bump top I navy move south bump navy marble move north bump bottom died | 5 | 6"
99. "I teal born | 6"
100. "I white move south bump bottom died | 5 | 6"
101. "I cyan born | 6"
102. "I gold move south bump bottom died | 5 | 6"
103. "I gray move west then gray move south then gray move east then gray move south then gray move north | 6"
104. "I orange born | 6"
105. "I silver move west bump left then silver move west bump left bump bottom died | 5 | 6"
106. "I yellow born | 6"
107. "I teal move north then teal move west bump bottom died | 5 | 6"
108. "I blue born | 6"
109. "I yellow move west bump left bump bottom died | 5 | 6"
110. "I white born | 6"
111. "I gray move south bump bottom died | 5 | 6"
112. "I gray born | 6"
113. "I indigo move west then indigo move east bump bottom died | 5 | 6"
114. "I navy move west bump left then navy move north then navy move north then navy move south bump top | 6"
115. "I red born | 6"
116. "I blue move south bump bottom died | 5 | 6"
117. "I gray move east bump right then gray move south then gray move east then gray move north then gray move north | 6"
118. "I gray still then gray move west then gray move east then gray move west then gray move east then gray move west | 6"
119. "I violet born | 6"
120. "I white still bump left bump bottom died | 5 | 6"
121. "I cyan move west bump left bump top bump top then cyan move south then cyan move south bump top | 6"
122. "I violet move east bump right then violet move south then violet move east then violet move north bump left | 6"
123. "I coral born | 6"
124. "I red move south bump bottom died | 5 | 6"
125. "I gray move west bump left bump right bump right then gray move west bump top bump right then gray move north | 6"
126. "I navy move east bump top then navy move west then navy move south then navy move north then navy move north | 6"
127. "I white born | 6"
128. "I navy move south then navy move north then navy move east then navy move east bump left bump bottom died | 5 | 6"
129. "I pink born | 6"
130. "I cyan move west bump left then cyan move south bump right bump bottom died | 5 | 6"
131. "I violet move north bump top I orange move south bump top then violet move west bump orange marble move west | 6"
132. "I pink move north then pink move west then pink move south bump top bump left then pink move north | 6"
133. "I coral move north then coral move west then coral move south then coral move north then coral move east | 6"
134. "I navy born | 6"
135. "I pink move north then pink move west bump left then pink move south bump right bump bottom died | 5 | 6"
136. "I pink born | 6"
137. "I violet move west bump left bump bottom died | 5 | 6"
138. "I navy move east bump right then navy move north then navy move east then navy move west bump left | 6"
139. "I green born | 6"
140. "I pink move south bump bottom died | 5 | 6"
141. "I navy still bump right then navy move north bump left then navy move south bump top bump left then navy move south | 6"
142. "I gray move north bump top I white move south then gray move south bump white marble move west then gray move west | 6"
143. "I orange move east bump right then orange move south then orange move south then orange move east then orange move west | 6"
144. "I purple born | 6"
145. "I white move north bump bottom died | 5 | 6"
146. "I green move south then green move west then green move south bump left then green move south then green move east | 6"
147. "I red born | 6"
148. "I green move south bump bottom died | 5 | 6"
149. "I green born | 6"
150. "I navy move south then navy move south bump left then navy move north bump bottom died | 5 | 6"
151. "I violet born | 6"
152. "I purple move west bump left bump left bump bottom died | 5 | 6"
153. "I purple born | 6"
154. "I red move south bump bottom died | 5 | 6"
155. "I gray move east bump right then gray move north bump top then gray move south then gray move south | 6"
156. "I coral move north bump top I violet move south then coral move west then coral move west then coral move east | 6"
157. "I gray move west bump left bump top bump right then gray move east bump top then gray move south | 6"
158. "I violet move west then violet move west then violet move south bump left bump right then violet move west | 6"
159. "I green move west bump left bump top then green move east then green move north bump right then green move east | 6"
160. "I cyan born | 6"
161. "I gray still bump top I violet move south then violet move east bump left bump top bump bottom died | 5 | 6"
162. "I cyan born | 6"
163. "I cyan move south bump bottom died | 5 | 6"
164. "I cyan move west bump left then cyan move south then cyan move north then cyan move south then cyan move south | 6"
165. "I silver born | 6"
166. "I green move east bump left then green move north bump right bump right bump right bump bottom died | 5 | 6"
167. "I coral move west then coral move south bump left then coral move east bump top bump left then coral move south | 6"
168. "I silver move north then silver move south bump top bump left then silver move south then silver move north | 6"
169. "I lime born | 6"
170. "I orange move east bump right then orange move east then orange move east bump bottom died | 5 | 6"
171. "I brown born | 6"
172. "I silver still bump right then silver move east then silver move west bump bottom died | 5 | 6"
173. "I yellow born | 6"
174. "I brown still bump bottom died | 5 | 6"
175. "I teal born | 6"
176. "I lime move south bump bottom died | 5 | 6"
177. "I cyan move north bump top I purple move south then purple move east bump left bump purple marble move east | 6"
178. "I gold born | 6"
179. "I violet move west bump left bump bottom died | 5 | 6"
180. "I green born | 6"
181. "I purple move north bump top I teal move south then teal move west then purple move south bump bottom died | 5 | 6"
182. "I coral born | 6"
183. "I coral still bump right bump bottom died | 5 | 6"
184. "I yellow move west bump left then yellow move west bump right bump left then yellow move west bump top | 6"
185. "I green move east then green move west bump right then green move south bump top bump right bump left | 6"
186. "I navy born | 6"
187. "I teal move south bump bottom died | 5 | 6"
188. "I black born | 6"
189. "I gold move south bump bottom died | 5 | 6"
190. "I coral move east bump right bump left then coral move east then coral move south bump left bump right | 6"
191. "I green move south bump top bump top bump right bump left bump left bump right then green move east | 6"
192. "I teal born | 6"
193. "I coral still bump right bump bottom died | 5 | 6"
194. "I navy move north bump top I black move south then black move north bump right bump black marble move north | 6"
195. "I violet born | 6"
196. "I yellow move south bump bottom died | 5 | 6"
197. "I silver born | 6"
198. "I violet move north bump top I teal move south then teal move east bump bottom died | 5 | 6"
199. "I blue born | 6"
200. "I navy move west then navy move north bump bottom died | 5 | 6"
201. "I green move north bump top I black move south bump black marble move south then green move south then green move east | 6"
202. "I cyan move east bump right then cyan move west then cyan move west bump left then cyan move south | 6"
203. "I cyan born | 6"
204. "I cyan move west bump left bump bottom died | 5 | 6"
205. "I purple born | 6"
206. "I blue move south bump bottom died | 5 | 6"
207. "I silver move east bump right then silver move south bump right then silver move east then silver move east | 6"
208. "I purple move east then purple move west then purple move west then purple move east then purple move north | 6"
209. "I orange born | 6"
210. "I silver move east bump right bump right bump bottom died | 5 | 6"
211. "I blue born | 6"
212. "I teal still bump right then teal move south bump bottom died | 5 | 6"
213. "I silver born | 6"
214. "I cyan still bump left then cyan move west bump bottom died | 5 | 6"
215. "I purple move west then purple move north then purple move east then purple move north then purple move west | 6"
216. "I green still then green move south bump left then green move east bump left bump top bump top then green move south | 6"
217. "I gold born | 6"
218. "I purple move north bump top I orange move south bump bottom died | 5 | 6"
219. "I brown born | 6"
220. "I blue move south bump bottom died | 5 | 6"
221. "I blue born | 6"
222. "I black move east bump right bump bottom died | 5 | 6"
223. "I violet born | 6"
224. "I orange move south bump bottom died | 5 | 6"
225. "I red born | 6"
226. "I gold move west then gold move south bump right then gold move north bump bottom died | 5 | 6"
227. "I green move east bump top then green move east then green move south bump left then green move west | 6"
228. "I white born | 6"
229. "I violet move east bump bottom died | 5 | 6"
230. "I silver move west bump left then silver move north bump left then silver move west then silver move west | 6"
231. "I indigo born | 6"
232. "I red move west bump left then red move east then red move east then red move north bump bottom died | 5 | 6"
233. "I black born | 6"
234. "I green still bump right bump left bump right bump bottom died | 5 | 6"
235. "I blue still bump left then blue move south then blue move south then blue move west bump left then blue move west | 6"
236. "I black move west bump left then black move south bump top bump left then black move north bump top | 6"
237. "I green born | 6"
238. "I blue move south bump bottom died | 5 | 6"
239. "I brown still bump left bump top bump top then brown move south bump right then brown move east bump top | 6"
240. "I brown move north bump top I black move south then brown move north bump right then brown move north | 6"
241. "I black move north bump right then black move west then black move east then black move east then black move east | 6"
242. "I gray born | 6"
243. "I black move south then black move west bump left bump bottom died | 5 | 6"
244. "I gold born | 6"
245. "I gray move south bump bottom died | 5 | 6"
246. "I brown move east then brown move east then brown move west bump right bump left then brown move north | 6"
247. "I violet born | 6"
248. "I brown still bump bottom died | 5 | 6"
249. "I green move south bump right then green move south then green move east then green move east then green move south | 6"
250. "I navy born | 6"
251. "I silver move south bump bottom died | 5 | 6"
252. "I gold move north bump top I navy move south then navy move south bump navy marble move west then gold move west | 6"
253. "I cyan born | 6"
254. "I green move south then green move north bump bottom died | 5 | 6"
255. "I cyan move north bump top I indigo move south then cyan move west bump top bump left then cyan move east | 6"
256. "I teal born | 6"
257. "I white move east bump right then white move north bump bottom died | 5 | 6"
258. "I coral born | 6"
259. "I cyan move south bump bottom died | 5 | 6"
260. "I teal move west bump left then teal move west then teal move north then teal move south bump right | 6"
261. "I yellow born | 6"
262. "I navy move west then navy move west bump right bump right bump bottom died | 5 | 6"
263. "I silver born | 6"
264. "I coral move south bump bottom died | 5 | 6"
265. "I silver move west bump left bump left then silver move north then silver move west then silver move east | 6"
266. "I silver still bump top I indigo move south then silver move east bump indigo marble move north bump right bump indigo marble move east | 6"
267. "I green born | 6"
268. "I violet move north bump left bump bottom died | 5 | 6"
269. "I teal move east bump right then teal move south then teal move west then teal move south bump left | 6"
270. "I cyan born | 6"
271. "I yellow move east bump top then yellow move east bump bottom died | 5 | 6"
272. "I navy born | 6"
273. "I silver move west then silver move north bump bottom died | 5 | 6"
274. "I green still bump left then green move north then green move north then green move west then green move north | 6"
275. "I indigo still bump left then indigo move east then indigo move north bump right bump left then indigo move north | 6"
276. "I cyan move west bump left then cyan move south then cyan move west bump left then cyan move north | 6"
277. "I green born | 6"
278. "I green move east bump right bump bottom died | 5 | 6"
279. "I yellow born | 6"
280. "I indigo move south bump bottom died | 5 | 6"
281. "I yellow move west bump left then yellow move south then yellow move east then yellow move north bump left | 6"
282. "I lime born | 6"
283. "I navy move east bump right bump bottom died | 5 | 6"
284. "I violet born | 6"
285. "I cyan move east bump right then cyan move east bump bottom died | 5 | 6"
286. "I gold move east bump right bump top then gold move south then gold move west then gold move north | 6"
287. "I gray born | 6"
288. "I gold move south bump bottom died | 5 | 6"
289. "I gold born | 6"
