Enhanced Marble Language Dataset - Generated on 2025-05-30 22:59:01
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 9.2 tokens

Sentences:
----------------------------------------
1. ""
2. "I violet marble move north bump left bounce away"
3. "I gold marble move south bump left bounce away"
4. "I navy marble move north bump left bounce away"
5. "I yellow"
6. "I teal marble move east"
7. "I white marble move west bump cyan marble move west"
8. "I violet marble move north bump right bounce away"
9. "I teal marble move south bump right bounce away then violet marble move west"
10. "I red marble move west bump left bounce away then gray marble move away"
11. "I lime marble move east"
12. "I purple marble move south bump yellow marble move west"
13. "I white"
14. "I gray marble move north bump bottom"
15. "I gold marble move north"
16. "I black"
17. "I blue marble still"
18. "I cyan"
19. "I orange"
20. "I blue marble move east then red marble move away"
21. "I pink"
22. "I indigo marble move east bump right bounce away"
23. "I coral"
24. "I green"
25. "I cyan marble move west bump top I purple bounce away"
26. "I silver"
27. "I pink marble move north bump top I coral bounce away"
28. "I gray marble still bump left bounce away"
29. "I green marble move west bump top I teal bounce away"
30. "I navy marble move south bump pink marble move south then green marble move west"
31. "I teal marble move west bump coral marble move west"
32. "I purple marble still bump left bounce away"
33. "I black marble move east then violet marble move west"
34. "I black marble still bump navy marble move north then yellow marble move east"
35. "I brown marble move west bump left bounce away then blue marble move west"
36. "I white I teal"
37. "I yellow marble move away bump bottom"
38. "I green marble still"
39. "I violet marble move south bump bottom"
40. "I gray marble move west bump green marble move west"
41. "I black marble move away bump top I lime bounce away"
42. "I pink marble move north bump brown marble move south"
43. "I white marble move west bump green marble move away"
44. "I white marble move north bump bottom bounce away then teal marble move north"
45. "I white marble still"
46. "I indigo marble move west bump bottom"
47. "I coral marble still"
48. "I gray I indigo"
49. "I gray marble move away bump left bounce away"
50. "I violet I green"
51. "I gray marble still"
52. "I gray marble move east bump bottom"
53. "I yellow marble move south bump top I silver bounce away"
54. "I purple marble move west"
55. "I red marble move south bump top bounce away"
56. "I teal marble move north bump bottom bounce away"
57. "I blue marble move away"
58. "I blue marble move away bump white marble move west"
59. "I indigo I violet"
60. "I navy marble move south bump bottom"
61. "I gold marble move west bump bottom"
