Enhanced Marble Language Dataset - Generated on 2025-05-30 23:42:58
================================================================================

Dataset Statistics:
  Total sentences: 94
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 6.4 tokens

Sentences:
----------------------------------------
1. "I white move east bump left"
2. "I yellow still bump right"
3. "I lime still bump bottom"
4. "I gold still bump top I navy"
5. "I indigo move east then indigo move west"
6. "I teal still bump right"
7. "I blue move north"
8. "I blue move west bump top I brown then brown move east"
9. "I red still"
10. "I silver move south bump right"
11. "I cyan move east bump right then cyan move south"
12. "I indigo still"
13. "I gray still bump left then gray move east"
14. "I teal still bump top I navy"
15. "I indigo move south"
16. "I silver move west bump left"
17. "I coral move south"
18. "I purple move south bump right"
19. "I black move east"
20. "I red move south bump left"
21. "I navy move west bump bottom"
22. "I red still"
23. "I violet move south bump bottom"
24. "I coral move east bump right then coral move south"
25. "I purple move east bump right"
26. "I indigo still bump bottom"
27. "I orange move south"
28. "I brown move north bump top I silver"
29. "I white move east bump bottom"
30. "I pink move south bump left then pink move south"
31. "I cyan move south bump left"
32. "I green move west then green move east"
33. "I black move south bump top I silver"
34. "I pink move south"
35. "I yellow still bump top I gray"
36. "I gray move east bump left"
37. "I orange move south bump top I purple then purple move east"
38. "I pink move south bump right"
39. "I coral still bump right"
40. "I gray move north bump right"
41. "I gray move north bump top I silver"
42. "I cyan still bump left"
43. "I cyan move west bump right"
44. "I red move east"
45. "I green still"
46. "I purple move north bump right"
47. "I coral move west bump left then coral move north"
48. "I coral move east bump left"
49. "I silver move north then silver move west"
50. "I silver move north then silver move west"
51. "I green move west bump left"
52. "I purple move north bump right"
53. "I green move west bump bottom"
54. "I pink move east bump right then pink move south"
55. "I coral move south bump right then coral move north"
56. "I silver move north bump left"
57. "I silver move east bump left"
58. "I silver still bump left then silver move east"
59. "I cyan still bump left then cyan move north"
60. "I cyan move east bump left"
61. "I coral move west"
62. "I coral move east then coral move east"
63. "I purple move north bump right then purple move south"
64. "I pink move west then pink move east"
65. "I cyan move south then cyan move east"
66. "I purple move south"
67. "I silver move north bump right then silver move south"
68. "I red move west bump left then red move east"
69. "I silver move south bump left"
70. "I pink move west bump top I red then red move south"
71. "I coral move north"
72. "I coral move east bump left"
73. "I cyan move west"
74. "I silver move south bump right"
75. "I red move north"
76. "I coral move west bump bottom"
77. "I cyan move west bump right"
78. "I silver move north bump right"
79. "I red still bump top I purple"
80. "I purple move north bump left"
81. "I cyan still bump bottom"
82. "I purple move east bump right"
83. "I purple still bump bottom"
84. "I silver move west"
85. "I silver still"
86. "I silver move west bump left"
87. "I silver move west"
88. "I silver move east bump top"
89. "I silver move west then silver move east"
90. "I silver move north bump left"
91. "I silver move east then silver move west"
92. "I silver move east bump top"
93. "I silver still then silver move north"
94. "I silver move east bump bottom"

Total sentences: 94

Raw array format:
['I white move east bump left', 'I yellow still bump right', 'I lime still bump bottom', 'I gold still bump top I navy', 'I indigo move east then indigo move west', 'I teal still bump right', 'I blue move north', 'I blue move west bump top I brown then brown move east', 'I red still', 'I silver move south bump right', 'I cyan move east bump right then cyan move south', 'I indigo still', 'I gray still bump left then gray move east', 'I teal still bump top I navy', 'I indigo move south', 'I silver move west bump left', 'I coral move south', 'I purple move south bump right', 'I black move east', 'I red move south bump left', 'I navy move west bump bottom', 'I red still', 'I violet move south bump bottom', 'I coral move east bump right then coral move south', 'I purple move east bump right', 'I indigo still bump bottom', 'I orange move south', 'I brown move north bump top I silver', 'I white move east bump bottom', 'I pink move south bump left then pink move south', 'I cyan move south bump left', 'I green move west then green move east', 'I black move south bump top I silver', 'I pink move south', 'I yellow still bump top I gray', 'I gray move east bump left', 'I orange move south bump top I purple then purple move east', 'I pink move south bump right', 'I coral still bump right', 'I gray move north bump right', 'I gray move north bump top I silver', 'I cyan still bump left', 'I cyan move west bump right', 'I red move east', 'I green still', 'I purple move north bump right', 'I coral move west bump left then coral move north', 'I coral move east bump left', 'I silver move north then silver move west', 'I silver move north then silver move west', 'I green move west bump left', 'I purple move north bump right', 'I green move west bump bottom', 'I pink move east bump right then pink move south', 'I coral move south bump right then coral move north', 'I silver move north bump left', 'I silver move east bump left', 'I silver still bump left then silver move east', 'I cyan still bump left then cyan move north', 'I cyan move east bump left', 'I coral move west', 'I coral move east then coral move east', 'I purple move north bump right then purple move south', 'I pink move west then pink move east', 'I cyan move south then cyan move east', 'I purple move south', 'I silver move north bump right then silver move south', 'I red move west bump left then red move east', 'I silver move south bump left', 'I pink move west bump top I red then red move south', 'I coral move north', 'I coral move east bump left', 'I cyan move west', 'I silver move south bump right', 'I red move north', 'I coral move west bump bottom', 'I cyan move west bump right', 'I silver move north bump right', 'I red still bump top I purple', 'I purple move north bump left', 'I cyan still bump bottom', 'I purple move east bump right', 'I purple still bump bottom', 'I silver move west', 'I silver still', 'I silver move west bump left', 'I silver move west', 'I silver move east bump top', 'I silver move west then silver move east', 'I silver move north bump left', 'I silver move east then silver move west', 'I silver move east bump top', 'I silver still then silver move north', 'I silver move east bump bottom']
