Enhanced Marble Language Dataset - Generated on 2025-05-30 22:57:05
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 8.2 tokens

Sentences:
----------------------------------------
1. ""
2. "I yellow marble move east bump left"
3. "I orange"
4. "I yellow"
5. "I green marble move west bump right"
6. "I purple marble move north bump lime marble"
7. "I lime marble move north"
8. "I cyan"
9. "I orange marble move north bump black marble"
10. "I navy marble move north"
11. "I white marble move south bump orange marble then purple marble move south"
12. "I silver marble move south bump green marble then white marble move north"
13. "I red marble move east bump left then orange marble move east"
14. "I indigo marble move west bump top I green"
15. "I silver marble move west bump violet marble"
16. "I gray marble move north"
17. "I gold marble move north"
18. "I black marble move west bump left"
19. "I cyan marble move west"
20. "I indigo marble move south"
21. "I pink"
22. "I teal marble move north bump indigo marble then purple marble move south"
23. "I violet"
24. "I white marble move west then black marble move east"
25. "I black marble move west"
26. "I lime marble move east bump coral marble"
27. "I white marble move south bump bottom"
28. "I green marble move west bump black marble"
29. "I blue marble move east bump violet marble"
30. "I gray"
31. "I brown"
32. "I teal marble move north bump navy marble"
33. "I pink marble move south bump orange marble then navy marble move south"
34. "I gray marble move east bump right"
35. "I pink marble move south bump top I navy then navy marble move north"
36. "I violet marble move south bump orange marble"
37. "I blue marble move north bump black marble"
38. "I purple"
39. "I black marble move west bump right"
40. "I red marble move north then black marble move north"
41. "I coral marble move west"
42. "I blue marble move east bump white marble"
43. "I yellow marble move east bump top I teal"
44. "I navy marble move east bump top then brown marble move east"
45. "I blue marble move east bump bottom"
46. "I blue marble move north bump top I coral"
47. "I red marble move south bump left then black marble move south"
48. "I orange marble move east bump violet marble move east"
49. "I indigo marble move north bump right then coral marble move south"
50. "I teal marble move south"
51. "I brown marble move east bump bottom"
52. "I white marble move west"
53. "I gold marble move west bump top I purple"
54. "I lime marble move north bump top I violet"
55. "I orange marble move east bump bottom"
56. "I brown marble move south bump bottom"
57. "I green marble move north bump right then navy marble move south"
58. "I navy I red"
59. "I pink marble move south bump purple marble move east"
60. "I cyan marble move south bump bottom"
61. "I white marble move south bump left"
62. "I navy marble move east bump bottom"
