Enhanced Marble Language Dataset - Generated on 2025-05-31 00:13:40
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 7.4 tokens

Sentences:
----------------------------------------
1. "I silver born move north bump top I pink move south then pink move east"
2. "I coral born move west bump left move east"
3. "I pink born move east bump right move west"
4. "I indigo born move east bump right move west"
5. "I blue born still then blue move east"
6. "I brown born move west bump left move east"
7. "I gold born move north bump top I coral move south"
8. "I violet born move south bump bottom died"
9. "I red born still bump left move east then red move north"
10. "I gray born move east bump right move west"
11. "I yellow born still"
12. "I yellow move west"
13. "I yellow still bump left move east"
14. "I blue move south bump bottom died"
15. "I pink move east then pink move east"
16. "I coral move west bump left move east"
17. "I indigo move west bump left move east then indigo move west"
18. "I gold still bump left move east"
19. "I indigo move east"
20. "I lime born move south"
21. "I teal born move south"
22. "I navy born move south then navy move east"
23. "I white born move north bump top I gray move south then gray move west"
24. "I silver move west"
25. "I brown move west"
26. "I teal still bump bottom died"
27. "I pink move east bump right move west"
28. "I brown move west bump left move east"
29. "I navy move east then navy move south"
30. "I lime move west"
31. "I purple born move west bump left move east"
32. "I navy move east bump right move west"
33. "I white move north bump top I indigo move south"
34. "I gray still bump left move east then gray move south"
35. "I cyan born move west bump left move east then cyan move west"
36. "I gray move east bump right move west then gray move west"
37. "I indigo move north bump top I brown move south"
38. "I black born move west bump left move east"
39. "I silver move east bump right move west"
40. "I yellow still bump top I navy move south"
41. "I white move east bump right move west then white move south"
42. "I coral move west bump left move east"
43. "I black move east bump right move west then black move east"
44. "I brown still"
45. "I black still bump bottom died"
46. "I navy move north bump top I brown move south"
47. "I gray move west bump left move east then gray move east"
48. "I red move west bump left move east"
49. "I cyan move north bump top I orange move south"
50. "I brown move north bump top I gray move south"
51. "I navy move north bump top I orange move south"
52. "I orange born move west bump left move east"
53. "I orange move south bump bottom died"
54. "I purple move south"
55. "I gray move north then gray move north"
56. "I coral still bump right move west"
57. "I pink move south bump bottom died"
58. "I gray move north"
59. "I gold move east bump right move west"
60. "I coral move north bump top I purple move south"
61. "I gold move south"
62. "I cyan move west then cyan move west"
63. "I navy move south"
