Enhanced Marble Language Dataset - Generated on 2025-05-30 21:35:26
================================================================================

Dataset Statistics:
  Total sentences: 500
  Unique colors used: 12
  Wall collisions: 189
  Marble collisions: 197
  Average sentence length: 9.9 tokens

Sentences:
----------------------------------------
1. "I blue marble move north bump into right"
2. "I purple marble move east bump into right"
3. "I brown marble move east"
4. "I green marble move west bump into gray marble"
5. "I black marble move west bump into brown marble then purple marble move south"
6. "I black marble move north then red marble move south"
7. "I green marble move west bump into gray marble then brown marble move south"
8. "I black marble move north bump into top then blue marble move west"
9. "I orange marble move south bump into left then white marble move west"
10. "I cyan marble move south bump into yellow marble then red marble move north"
11. "I white marble move north"
12. "I brown marble move south bump into black marble"
13. "I blue marble move south bump into right"
14. "I black marble move north bump into top"
15. "I black marble move south bump into purple marble"
16. "I gray marble move north bump into top"
17. "I blue marble move south bump into green marble then purple marble move south"
18. "I yellow marble move south"
19. "I cyan marble move east bump into top"
20. "I red marble move south bump into blue marble"
21. "I white marble move east bump into red marble"
22. "I brown marble move east bump into white marble"
23. "I green marble move east bump into orange marble"
24. "I black marble move west bump into cyan marble then orange marble move south"
25. "I orange marble move west bump into bottom then white marble move north"
26. "I red marble move south bump into orange marble"
27. "I yellow marble move south bump into brown marble"
28. "I orange marble move east bump into gray marble then purple marble move north"
29. "I gray marble move north bump into right"
30. "I pink marble move east bump into orange marble"
31. "I white marble move west bump into right"
32. "I white marble move east then blue marble move south"
33. "I orange marble move south bump into pink marble then cyan marble move north"
34. "I blue marble move west bump into bottom then black marble move west"
35. "I yellow marble move east"
36. "I purple marble move west bump into top"
37. "I green marble move east then purple marble move north"
38. "I green marble move east then pink marble move east"
39. "I orange marble move west bump into blue marble"
40. "I red marble move south bump into cyan marble then blue marble move south"
41. "I purple marble move east bump into yellow marble"
42. "I orange marble move west bump into cyan marble"
43. "I green marble move south bump into left then blue marble move west"
44. "I brown marble move south bump into right"
45. "I cyan marble move east bump into bottom"
46. "I pink marble move west bump into right then yellow marble move south"
47. "I brown marble move east bump into left"
48. "I white marble move east bump into blue marble"
49. "I gray marble move west bump into red marble"
50. "I green marble move west bump into right"
51. "I brown marble move north bump into top"
52. "I yellow marble move north bump into bottom then black marble move south"
53. "I gray marble move east then black marble move west"
54. "I blue marble move west bump into black marble"
55. "I orange marble move west bump into red marble"
56. "I black marble move west bump into white marble"
57. "I brown marble move south bump into left then cyan marble move east"
58. "I pink marble move north"
59. "I white marble move east bump into right then black marble move west"
60. "I red marble move north then white marble move east"
61. "I white marble move east bump into green marble then blue marble move south"
62. "I orange marble move west"
63. "I blue marble move north bump into white marble then cyan marble move west"
64. "I red marble move south"
65. "I green marble move west"
66. "I green marble move north bump into right"
67. "I cyan marble move north bump into pink marble"
68. "I white marble move south bump into bottom"
69. "I cyan marble move north bump into brown marble then gray marble move south"
70. "I cyan marble move south bump into yellow marble then orange marble move south"
71. "I blue marble move east"
72. "I pink marble move north bump into left"
73. "I black marble move east bump into pink marble then gray marble move east"
74. "I cyan marble move west bump into right"
75. "I gray marble move west bump into right then orange marble move east"
76. "I pink marble move west bump into gray marble then purple marble move east"
77. "I yellow marble move north bump into brown marble"
78. "I purple marble move north then black marble move east"
79. "I green marble move west then cyan marble move east"
80. "I cyan marble move east bump into purple marble then brown marble move north"
81. "I yellow marble move west then brown marble move north"
82. "I cyan marble move west bump into red marble then green marble move north"
83. "I cyan marble move north bump into blue marble then orange marble move north"
84. "I blue marble move south then green marble move south"
85. "I gray marble move west bump into pink marble"
86. "I orange marble move east bump into left then cyan marble move north"
87. "I white marble move south bump into yellow marble"
88. "I yellow marble move east then brown marble move east"
89. "I white marble move south bump into purple marble"
90. "I yellow marble move west bump into top then orange marble move east"
91. "I purple marble move west bump into right then white marble move north"
92. "I green marble move west bump into orange marble then white marble move west"
93. "I gray marble move north bump into bottom"
94. "I white marble move east bump into bottom"
95. "I orange marble move south bump into brown marble"
96. "I cyan marble move east"
97. "I blue marble move south bump into pink marble"
98. "I cyan marble move south then brown marble move south"
99. "I cyan marble move west bump into yellow marble then brown marble move east"
100. "I pink marble move north bump into yellow marble then blue marble move west"
101. "I red marble move north bump into bottom"
102. "I red marble move north bump into cyan marble then gray marble move east"
103. "I black marble move east bump into top"
104. "I orange marble move north bump into white marble"
105. "I brown marble move east bump into purple marble"
106. "I blue marble move west bump into bottom"
107. "I green marble move west bump into blue marble then purple marble move west"
108. "I brown marble move south bump into left"
109. "I orange marble move north bump into gray marble"
110. "I orange marble move north bump into top then pink marble move east"
111. "I black marble move south"
112. "I cyan marble move east bump into green marble then red marble move east"
113. "I green marble move south bump into cyan marble"
114. "I blue marble move north then green marble move south"
115. "I cyan marble move east bump into yellow marble"
116. "I purple marble move south bump into black marble"
117. "I white marble move north bump into right then blue marble move north"
118. "I blue marble move north bump into pink marble"
119. "I yellow marble move west bump into left then green marble move west"
120. "I black marble move south bump into left then gray marble move east"
121. "I blue marble move east bump into bottom"
122. "I cyan marble move north bump into bottom"
123. "I cyan marble move north bump into left"
124. "I cyan marble move north then blue marble move east"
125. "I black marble move north bump into brown marble"
126. "I black marble move west bump into blue marble"
127. "I orange marble move north then black marble move south"
128. "I cyan marble move north bump into gray marble"
129. "I brown marble move west bump into bottom"
130. "I brown marble move west bump into orange marble"
131. "I yellow marble move east bump into gray marble"
132. "I blue marble move east bump into bottom then gray marble move west"
133. "I green marble move north bump into yellow marble"
134. "I white marble move east bump into left"
135. "I red marble move west bump into left"
136. "I red marble move east bump into left"
137. "I purple marble move west then gray marble move west"
138. "I green marble move west bump into bottom"
139. "I white marble move north bump into purple marble"
140. "I pink marble move north bump into purple marble"
141. "I blue marble move south bump into orange marble"
142. "I orange marble move south bump into purple marble"
143. "I white marble move west bump into orange marble"
144. "I red marble move south bump into green marble"
