Enhanced Marble Language Dataset - Generated on 2025-05-30 23:01:44
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 9.1 tokens

Sentences:
----------------------------------------
1. ""
2. "I lime marble move south"
3. "I teal marble move east bump bottom"
4. "I indigo marble move south bump left bounce away"
5. "I silver marble still"
6. "I brown marble move north bump black marble move east"
7. "I red"
8. "I yellow marble move east bump indigo marble move west"
9. "I violet"
10. "I blue marble still bump navy marble move south"
11. "I green marble move east bump bottom"
12. "I pink marble still bump top I navy bounce away"
13. "I orange marble move south bump navy marble move west then coral marble move north"
14. "I gold"
15. "I cyan marble move south"
16. "I white marble move north"
17. "I purple"
18. "I coral marble move south bump left bounce away"
19. "I gray marble move east"
20. "I cyan marble move east bump left bounce away"
21. "I brown marble move south bump bottom"
22. "I indigo marble move away"
23. "I cyan marble still"
24. "I gold marble move north bump right bounce away then purple marble move north"
25. "I black marble move away bump right bounce away"
26. "I cyan marble move east bump top bounce away"
27. "I brown I green"
28. "I blue marble move south bump red marble move south"
29. "I navy marble move north"
30. "I yellow marble move south"
31. "I white marble move west bump bottom"
32. "I lime marble move west bump top I violet bounce away"
33. "I black marble still"
34. "I lime marble move away bump bottom"
35. "I yellow marble move away bump bottom"
36. "I black marble move south bump silver marble move west"
37. "I violet marble move east bump top I indigo bounce away"
38. "I violet marble move south bump right bounce away then white marble move west"
39. "I pink marble still"
40. "I indigo I gray"
41. "I coral marble still"
42. "I green marble move east bump top bounce away then gray marble move west"
43. "I blue marble move north bump bottom"
44. "I blue marble still"
45. "I gold marble move away bump top I blue bounce away"
46. "I cyan marble move south bump top I coral bounce away"
47. "I orange marble move west"
48. "I violet I blue"
49. "I lime marble move north bump right bounce away"
50. "I orange marble move east"
51. "I yellow marble move west bump right bounce away"
52. "I pink I brown"
53. "I cyan marble move south bump top I silver bounce away"
54. "I green marble move west bump indigo marble move east"
55. "I pink marble move south bump top I lime bounce away"
56. "I silver marble move away"
57. "I brown marble move east bump top bounce away then navy marble move east"
58. "I lime marble move east bump bottom bounce away"
59. "I lime marble move north bump right bounce away then violet marble move away"
