Enhanced Marble Language Dataset - Generated on 2025-05-31 00:49:30
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 14.9 tokens

Sentences:
----------------------------------------
1. "I gray born move west bump left then gray move west bump right bump bottom died | 19 | 19"
2. "I cyan born move south bump bottom died | 18 | 18"
3. "I purple born move north bump top I pink move south then pink move south then purple move west then purple move west | 18"
4. "I black born move north bump top I indigo move south bump bottom died | 17 | 17"
5. "I orange born move north bump top I blue move south then blue move west then orange move south bump blue marble move north | 17"
6. "I lime born still bump top I brown move south then lime move north bump brown marble move south then lime move north | 17"
7. "I coral born still bump bottom died | 16 | 16"
8. "I white born move east bump right then white move east then white move east bump left then white move north | 16"
9. "I blue born move south then blue move east then blue move north bump top bump top bump top then blue move east | 16"
10. "I navy born still then navy move north then navy move south bump bottom died | 15 | 15"
11. "I teal born move east bump right then teal move south bump left then teal move west bump left bump right | 15"
12. "I silver born still bump left then silver move east bump right then silver move west bump bottom died | 14 | 14"
13. "I violet born still then violet move east then violet move east then violet move south then violet move south | 14"
14. "I yellow born move west bump left bump left then yellow move south bump bottom died | 13 | 13"
15. "I green born move north bump top I teal move south bump top then green move south then green move east | 13"
16. "I orange move east bump right bump top bump left then orange move east bump top bump left then orange move east | 13"
17. "I pink born move north bump top I teal move south then pink move west bump right then pink move east | 13"
18. "I pink move west bump left then pink move north bump bottom died | 12 | 12"
19. "I gold born move east bump right bump left then gold move north then gold move east then gold move north | 12"
20. "I brown born move east bump right bump top then brown move south bump left bump bottom died | 11 | 11"
21. "I gold move south bump bottom died | 10 | 10"
22. "I lime still bump top I blue move south then lime move east bump bottom died | 9 | 9"
23. "I purple move south bump right then purple move south bump bottom died | 8 | 8"
24. "I orange move south bump bottom died | 7 | 7"
25. "I green still bump left bump right bump left bump left then green move north then green move west then green move east | 7"
26. "I violet move south bump bottom died | 6 | 6"
27. "I red born move west bump left bump left then red move north then red move west bump top then red move west | 6"
28. "I gold born | 6"
29. "I blue move west bump left then blue move north bump bottom died | 5 | 6"
30. "I white still bump right then white move west then white move west bump top bump top bump left then white move east | 6"
