Enhanced Marble Language Dataset - Generated on 2025-05-30 22:44:26
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 12
  Wall collisions: 382
  Marble collisions: 433
  Average sentence length: 10.1 tokens

Sentences:
----------------------------------------
1. "I pink marble move north bump into red marble then gray marble move north"
2. "I purple marble move south bump into left"
3. "I pink marble move east bump into green marble"
4. "I red marble move west bump into gray marble"
5. "I pink marble move south bump into top I yellow"
6. "I black marble move west bump into right then orange marble move west"
7. "I red marble move east bump into right then green marble move east"
8. "I orange marble move west bump into right then blue marble move west"
9. "I white marble move south bump into blue marble"
10. "I blue marble move north bump into right"
11. "I cyan marble move south bump into right"
12. "I white marble move east bump into blue marble"
13. "I white marble move west bump into top I purple"
14. "I red marble move west bump into white marble"
15. "I green marble move west bump into yellow marble"
16. "I black marble move east bump into left then cyan marble move north"
17. "I brown marble move north then orange marble move north"
18. "I gray marble move south bump into cyan marble then brown marble move east"
19. "I purple marble move east bump into right then black marble move south"
20. "I green marble move east bump into left then white marble move south"
21. "I cyan marble move west bump into blue marble"
22. "I pink marble move south bump into right then black marble move north"
23. "I pink marble move north then red marble move east"
24. "I pink marble move north bump into blue marble"
25. "I green marble move south bump into left"
26. "I gray marble move south bump into red marble"
27. "I orange marble move east bump into right"
28. "I gray marble move west then red marble move east"
29. "I green marble move south bump into bottom"
30. "I brown marble move south bump into right then pink marble move north"
31. "I blue marble move south bump into green marble"
32. "I black marble move east bump into red marble"
33. "I gray marble move north bump into bottom"
34. "I white marble move east bump into pink marble"
35. "I black marble move south bump into top I yellow"
36. "I purple marble move south bump into black marble"
37. "I white marble move east bump into yellow marble then red marble move north"
38. "I brown marble move east then pink marble move west"
39. "I orange marble move south bump into purple marble then white marble move west"
40. "I yellow marble move north bump into brown marble"
41. "I gray marble move north then green marble move north"
42. "I purple marble move east"
43. "I green marble move south bump into brown marble"
44. "I pink marble move north"
45. "I red marble move north bump into left then pink marble move east"
46. "I pink marble move south bump into right"
47. "I purple marble move east bump into orange marble"
48. "I red marble move north bump into right then blue marble move south"
49. "I brown marble move west bump into pink marble"
50. "I orange marble move south then pink marble move south"
51. "I red marble move east bump into left then pink marble move south"
52. "I red marble move east"
53. "I purple marble move south bump into left then brown marble move west"
54. "I blue marble move south then purple marble move north"
55. "I gray marble move west bump into black marble"
56. "I blue marble move south bump into purple marble"
57. "I blue marble move north bump into bottom"
58. "I blue marble move west bump into purple marble then gray marble move north"
59. "I black marble move west bump into red marble"
60. "I white marble move south bump into top I brown then purple marble move east"
61. "I red marble move north bump into right"
62. "I red marble move west bump into yellow marble"
63. "I cyan marble move west bump into left"
64. "I orange marble move west bump into blue marble"
65. "I red marble move east then cyan marble move west"
66. "I pink marble move north then purple marble move south"
67. "I black marble move west then cyan marble move east"
68. "I cyan marble move west bump into left then white marble move west"
69. "I cyan marble move east bump into blue marble"
70. "I pink marble move south bump into left then brown marble move west"
71. "I green marble move south bump into right"
72. "I green marble move south bump into top I pink"
73. "I brown marble move east bump into pink marble"
74. "I cyan marble move west bump into left then black marble move east"
75. "I purple marble move west bump into top I cyan"
76. "I green marble move east bump into yellow marble"
77. "I black marble move east bump into blue marble"
78. "I green marble move north bump into right"
79. "I orange marble move north bump into brown marble"
80. "I yellow marble move east bump into top I red then pink marble move east"
81. "I orange marble move east bump into black marble then yellow marble move east"
82. "I brown marble move east bump into top I green"
83. "I green marble move south bump into top I blue"
84. "I white marble move west bump into black marble"
85. "I cyan marble move west bump into white marble"
86. "I brown marble move north then purple marble move south"
87. "I white marble move west bump into top I cyan then gray marble move north"
88. "I black marble move north bump into left then gray marble move east"
89. "I brown marble move west bump into blue marble"
90. "I brown marble move east bump into top I black then purple marble move south"
91. "I orange marble move west bump into top I red then red marble move west"
92. "I red marble move west bump into orange marble then yellow marble move south"
93. "I red marble move south bump into bottom"
94. "I purple marble move south bump into left then white marble move west"
95. "I cyan marble move south then green marble move north"
96. "I blue marble move north bump into green marble"
97. "I pink marble move north bump into white marble then gray marble move south"
98. "I yellow marble move south bump into purple marble"
99. "I yellow marble move west bump into top I pink"
100. "I orange marble move east bump into right then red marble move south"
101. "I blue marble move north then cyan marble move west"
102. "I red marble move south bump into top I green"
103. "I red marble move west then pink marble move north"
104. "I yellow marble move south bump into green marble"
105. "I black marble move north bump into pink marble"
106. "I white marble move north bump into pink marble"
107. "I green marble move west bump into left"
108. "I orange marble move east bump into top I red then black marble move south"
109. "I cyan marble move south bump into bottom"
110. "I orange marble move south bump into brown marble"
111. "I orange marble move west bump into left then yellow marble move north"
112. "I green marble move south bump into gray marble then yellow marble move west"
113. "I gray marble move east bump into pink marble then green marble move north"
114. "I orange marble move west bump into right"
115. "I blue marble move south bump into right"
116. "I black marble move north bump into right then cyan marble move east"
117. "I cyan marble move west then purple marble move west"
118. "I blue marble move south bump into top I purple then purple marble move east"
119. "I pink marble move east bump into top I yellow then yellow marble move north"
120. "I cyan marble move east bump into brown marble"
121. "I red marble move south bump into black marble then blue marble move south"
122. "I blue marble move west bump into right then yellow marble move east"
123. "I gray marble move north bump into orange marble then brown marble move south"
124. "I purple marble move west then black marble move south"
125. "I orange marble move east bump into bottom"
126. "I cyan marble move east bump into pink marble"
127. "I orange marble move east bump into top I black then black marble move north"
