Enhanced Marble Language Dataset - Generated on 2025-05-31 01:44:20
================================================================================

Dataset Statistics:
  Total sentences: 6000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 16.5 tokens

Sentences:
----------------------------------------
1. "I lime born still bump left bump top bump bottom died | 19 | 19"
2. "I gray born move north then gray move east then gray move south then gray move west bump right then gray move south | 19"
3. "I teal born move west bump left bump left then teal move west bump left bump left then teal move west | 19"
4. "I white born move north bump top I green move south then green move north then white move east then white move north | 19"
5. "I navy born move south bump then navy move east bump bottom died | 18 | 18"
6. "I gray move north bump top I silver move south then silver move west then gray move north bump silver marble move north | 18"
7. "I brown born move west then brown move east bump bottom died | 17 | 17"
8. "I white move south bump then white move south then white move south bump bottom died | 16 | 16"
9. "I yellow born move west then yellow move south bump right bump left then yellow move west bump top bump top | 16"
10. "I gray still bump right bump left bump right then gray move north then gray move south bump left then gray move west | 16"
11. "I red born move east bump right then red move east bump right then red move west then red move east | 16"
12. "I blue born move north bump top I gold move south then gold move north bump top then blue move south | 16"
13. "I teal move south bump bump top then teal move south then teal move east bump left bump left then teal move west | 16"
14. "I pink born move north then pink move north bump top bump top bump left then pink move south then pink move south | 16"
15. "I gray move north bump top I yellow move south bump yellow marble move north then gray move west then gray move north | 16"
16. "I silver born move west bump left bump bottom died | 15 | 15"
17. "I violet born still bump right then violet move west bump top bump left then violet move north bump left | 15"
18. "I cyan born move north bump top I red move south then red move north bump red marble move east then cyan move west | 15"
19. "I yellow move east bump right bump top then yellow move north then yellow move north bump bottom died | 14 | 14"
20. "I gold born move west bump left then gold move south bump right then gold move west then gold move south | 14"
21. "I gold move north then gold move west then gold move east then gold move north bump right bump right | 14"
22. "I black born move south bump then black move east then black move north bump top then black move south | 14"
23. "I black move east bump right then black move east then black move south then black move north bump right | 14"
24. "I gold move west then gold move west bump bottom died | 13 | 13"
25. "I green born move east bump right then green move south bump left bump bottom died | 12 | 12"
26. "I indigo born move north bump top I teal move south then teal move west then indigo move west then indigo move north | 12"
27. "I coral born move west then coral move south then coral move east then coral move south then coral move east | 12"
28. "I orange born move west bump left then orange move west then orange move north bump bottom died | 11 | 11"
29. "I pink move west bump left bump top bump left bump top then pink move west bump top then pink move south | 11"
30. "I indigo move east bump right then indigo move east then indigo move east bump top then indigo move north | 11"
31. "I teal move south then teal move east bump left then teal move east bump bottom died | 10 | 10"
32. "I purple born move west bump left then purple move south bump top bump right then purple move south bump bottom died | 9 | 9"
33. "I indigo move west bump left then indigo move west then indigo move south bump top then indigo move north | 9"
34. "I violet move west bump left then violet move south bump top bump bottom died | 8 | 8"
35. "I pink move south bump then pink move south bump top bump bottom died | 7 | 7"
36. "I cyan move west bump left then cyan move east bump bottom died | 6 | 6"
37. "I coral move north bump top I red move south then coral move east then coral move east then coral move west | 6"
38. "I orange born | 6"
39. "I black move west bump bottom died | 5 | 6"
40. "I coral move east then coral move south then coral move east bump top then coral move south bump top | 6"
41. "I red move south bump then red move east then red move east then red move east then red move west | 6"
42. "I gray move west bump left then gray move north then gray move north bump right then gray move west | 6"
43. "I silver born | 6"
44. "I indigo move south then indigo move north then indigo move west bump left bump bottom died | 5 | 6"
45. "I orange move south bump then orange move east then orange move east then orange move east bump left bump right | 6"
46. "I violet born | 6"
47. "I red still then red move east then red move east bump top bump top then red move north bump bottom died | 5 | 6"
48. "I orange move south bump then orange move north then orange move east then orange move west then orange move west | 6"
49. "I gray move north bump top I orange move south then gray move west then gray move east bump orange marble move west | 6"
50. "I white born | 6"
51. "I coral move south bump then coral move north then coral move north then coral move north bump top bump bottom died | 5 | 6"
52. "I gray move east bump right then gray move north then gray move north bump right bump right bump top | 6"
53. "I gray move south bump then gray move east bump left then gray move east then gray move north bump top | 6"
54. "I orange move east bump right then orange move south then orange move north then orange move north bump top | 6"
55. "I violet move east bump right then violet move west bump top bump left then violet move south bump left | 6"
56. "I yellow born | 6"
57. "I gray move west bump left then gray move south bump bottom died | 5 | 6"
58. "I cyan born | 6"
59. "I white move south bump then white move south then white move east bump top bump bottom died | 5 | 6"
60. "I teal born | 6"
61. "I blue move east bump right then blue move east then blue move east then blue move east bump bottom died | 5 | 6"
62. "I purple born | 6"
63. "I yellow move west bump left bump right bump top then yellow move east then yellow move east bump bottom died | 5 | 6"
64. "I red born | 6"
65. "I violet move south then violet move north bump bottom died | 5 | 6"
66. "I white born | 6"
67. "I purple still then purple move west then purple move east bump bottom died | 5 | 6"
68. "I gold born | 6"
69. "I orange move south bump bump top bump top bump top bump bottom died | 5 | 6"
70. "I blue born | 6"
71. "I white move west bump right bump top bump bottom died | 5 | 6"
72. "I silver move south bump then silver move south then silver move west bump right bump top bump top bump left | 6"
73. "I teal move west bump left then teal move west then teal move south then teal move north then teal move east | 6"
74. "I white born | 6"
75. "I red move south bump bump left then red move north bump right then red move north bump bottom died | 5 | 6"
76. "I purple born | 6"
77. "I gold move south then gold move south then gold move east bump top bump bottom died | 5 | 6"
78. "I lime born | 6"
79. "I purple move north bump right then purple move east bump left bump bottom died | 5 | 6"
80. "I cyan move south bump top then cyan move south bump right then cyan move west bump left then cyan move north | 6"
81. "I lime move south bump bump top then lime move south bump left then lime move north then lime move west | 6"
82. "I green born | 6"
83. "I white move west bump left then white move north bump bottom died | 5 | 6"
84. "I white born | 6"
85. "I blue move east bump right bump bottom died | 5 | 6"
86. "I brown born | 6"
87. "I white move west bump left then white move west then white move north bump bottom died | 5 | 6"
88. "I silver move west bump left then silver move north bump top bump top bump top then silver move east | 6"
89. "I teal move north bump top I green move south then green move east then teal move north then teal move north | 6"
90. "I pink born | 6"
91. "I lime move south bump then lime move west bump left then lime move south bump left bump bottom died | 5 | 6"
92. "I green move east bump right bump right bump right bump left bump top bump left then green move east | 6"
93. "I green move north bump top I pink move south then pink move south bump pink marble move north bump top | 6"
94. "I silver move north bump top I pink move south bump right then silver move east bump pink marble move north | 6"
95. "I navy born | 6"
96. "I green move east bump right then green move west bump bottom died | 5 | 6"
97. "I cyan move north bump top I navy move south then cyan move north bump top then cyan move west | 6"
98. "I cyan still bump top I pink move south bump pink marble move south then cyan move east then cyan move north | 6"
99. "I pink move north bump top I navy move south bump left then pink move east then pink move north | 6"
100. "I white born | 6"
101. "I silver move north bump top I brown move south bump left bump bottom died | 5 | 6"
102. "I blue born | 6"
103. "I navy move north bump top I white move south bump white marble move west bump bottom died | 5 | 6"
104. "I cyan still bump top I brown move south then cyan move north bump right bump brown marble move west bump brown marble move south | 6"
105. "I lime born | 6"
106. "I blue move south then blue move east bump bottom died | 5 | 6"
107. "I brown move east bump top then brown move south then brown move north bump top bump left then brown move south | 6"
108. "I indigo born | 6"
109. "I cyan move south bump then cyan move east then cyan move north bump right then cyan move east bump bottom died | 5 | 6"
110. "I teal move south bump then teal move north then teal move south bump right bump left then teal move west | 6"
111. "I white move south bump then white move north bump top then white move north bump right then white move north | 6"
112. "I yellow born | 6"
113. "I white move east then white move south then white move west bump bottom died | 5 | 6"
114. "I gold born | 6"
115. "I brown move south then brown move south bump bottom died | 5 | 6"
116. "I gold move north then gold move east bump top then gold move west then gold move west bump right | 6"
117. "I teal move east then teal move east then teal move north then teal move east bump top then teal move south | 6"
118. "I yellow born | 6"
119. "I yellow still bump right then yellow move south bump bottom died | 5 | 6"
120. "I gold move north bump left then gold move west then gold move west then gold move east then gold move south | 6"
121. "I teal move north bump top I yellow move south then teal move west bump yellow marble move west then teal move west | 6"
122. "I yellow still bump right bump right bump right bump right bump top then yellow move west bump top then yellow move east | 6"
123. "I yellow still bump right then yellow move north bump top then yellow move east then yellow move west bump right | 6"
124. "I violet born | 6"
125. "I indigo still bump right bump bottom died | 5 | 6"
126. "I green born | 6"
127. "I lime still bump left bump bottom died | 5 | 6"
128. "I green move west then green move east then green move east bump left bump top then green move north | 6"
129. "I teal born | 6"
130. "I teal move east bump right bump left then teal move east bump left then teal move south bump bottom died | 5 | 6"
131. "I purple born | 6"
132. "I violet move east then violet move east then violet move north bump right bump top bump bottom died | 5 | 6"
133. "I green move north bump top I yellow move south bump yellow marble move north then green move west bump yellow marble move west | 6"
134. "I gold move south bump then gold move south then gold move north then gold move east bump right bump left | 6"
135. "I silver born | 6"
136. "I yellow move west then yellow move north bump right bump bottom died | 5 | 6"
137. "I lime born | 6"
138. "I teal still bump left bump bottom died | 5 | 6"
139. "I red born | 6"
140. "I silver move east bump right then silver move west bump right bump left bump bottom died | 5 | 6"
141. "I pink move east then pink move east then pink move east bump right then pink move east then pink move west | 6"
142. "I black born | 6"
143. "I pink move east bump right then pink move east bump bottom died | 5 | 6"
144. "I brown born | 6"
145. "I purple move west then purple move west bump top then purple move south then purple move east bump bottom died | 5 | 6"
146. "I red move north bump top I lime move south then lime move south bump top then red move south | 6"
147. "I green move east bump right then green move east then green move south then green move west then green move west | 6"
148. "I cyan born | 6"
149. "I gold move south then gold move south then gold move west bump bottom died | 5 | 6"
150. "I lime move west then lime move east bump right then lime move south bump right then lime move west | 6"
151. "I red still bump left bump left then red move east bump left then red move north then red move west | 6"
152. "I lime move east then lime move north then lime move south bump right then lime move south then lime move south | 6"
153. "I green still then green move south bump top bump top bump left bump top then green move east bump left | 6"
154. "I teal born | 6"
155. "I lime move east bump right then lime move east then lime move south bump top bump top bump bottom died | 5 | 6"
156. "I red move north bump top I cyan move south then cyan move north then red move west bump right | 6"
157. "I coral born | 6"
158. "I teal move west then teal move north bump bottom died | 5 | 6"
159. "I black move north bump top I cyan move south then black move west then black move west bump cyan marble move east | 6"
160. "I silver born | 6"
161. "I coral still bump bottom died | 5 | 6"
162. "I cyan move south bump bump left bump top then cyan move north then cyan move south then cyan move east | 6"
163. "I black move west bump left then black move east then black move south bump right bump top then black move east | 6"
164. "I red move north bump top I silver move south then red move south bump left then red move west | 6"
165. "I cyan still bump left then cyan move west bump top then cyan move west then cyan move west bump right | 6"
166. "I brown born | 6"
167. "I brown move east bump right bump bottom died | 5 | 6"
168. "I black still bump top then black move south bump top bump right then black move west then black move north | 6"
169. "I red move north bump top I silver move south then silver move north bump top bump left then red move south | 6"
170. "I silver still bump right bump left then silver move south then silver move south bump right then silver move south | 6"
171. "I lime born | 6"
172. "I red move east bump right bump top then red move east bump bottom died | 5 | 6"
173. "I orange born | 6"
174. "I lime move east bump right bump bottom died | 5 | 6"
175. "I green move north bump top I silver move south bump left bump top bump silver marble move north then green move north | 6"
176. "I pink born | 6"
177. "I silver move east bump bottom died | 5 | 6"
178. "I black still bump right then black move south then black move south then black move south bump top bump top | 6"
179. "I teal born | 6"
180. "I black move east then black move north bump top bump bottom died | 5 | 6"
181. "I black born | 6"
182. "I pink move north bump top I orange move south then pink move west bump right bump bottom died | 5 | 6"
183. "I orange move north bump top I black move south then orange move east then orange move north bump black marble move south | 6"
184. "I indigo born | 6"
185. "I orange move west then orange move east bump right then orange move east bump bottom died | 5 | 6"
186. "I red born | 6"
187. "I cyan move east then cyan move south then cyan move north bump bottom died | 5 | 6"
188. "I black move west bump left then black move east then black move east then black move west bump top | 6"
189. "I green born | 6"
190. "I green move east then green move west bump bottom died | 5 | 6"
191. "I yellow born | 6"
192. "I green move west bump left then green move south bump bottom died | 5 | 6"
193. "I blue born | 6"
194. "I indigo move north then indigo move east bump bottom died | 5 | 6"
195. "I brown move west bump left then brown move north then brown move north bump top then brown move south | 6"
196. "I pink born | 6"
197. "I red still bump top I brown move south bump bottom died | 5 | 6"
198. "I teal still bump left then teal move east then teal move south bump right bump top then teal move south | 6"
199. "I teal move west bump top bump top then teal move south then teal move south then teal move south | 6"
200. "I brown born | 6"
201. "I brown move west then brown move west bump left bump bottom died | 5 | 6"
202. "I green born | 6"
203. "I teal move west bump left bump right then teal move south then teal move west bump bottom died | 5 | 6"
204. "I brown move north bump top I green move south bump green marble move east then brown move west bump green marble move west | 6"
205. "I purple born | 6"
206. "I blue move north bump bottom died | 5 | 6"
207. "I pink move west bump left then pink move east bump right bump left then pink move west bump left | 6"
208. "I cyan born | 6"
209. "I brown move west bump left then brown move south then brown move south bump bottom died | 5 | 6"
210. "I yellow move west then yellow move west bump right bump right then yellow move west then yellow move west | 6"
211. "I pink move west bump left then pink move north then pink move west then pink move east bump right | 6"
212. "I black still then black move east then black move north bump right then black move east bump right bump right | 6"
213. "I cyan move south bump then cyan move west bump left then cyan move north then cyan move west bump top | 6"
214. "I purple move south bump bump top then purple move east then purple move north then purple move south bump left | 6"
215. "I cyan born | 6"
216. "I cyan still bump left bump bottom died | 5 | 6"
217. "I yellow still then yellow move south then yellow move west bump top bump right then yellow move west then yellow move south | 6"
218. "I coral born | 6"
219. "I purple move south then purple move west bump bottom died | 5 | 6"
220. "I black move south bump then black move west then black move south then black move south bump right bump left | 6"
221. "I lime born | 6"
222. "I cyan move west bump left bump bottom died | 5 | 6"
223. "I coral move east bump right bump left then coral move west bump right bump right bump left then coral move south | 6"
224. "I red born | 6"
225. "I lime still bump top bump bottom died | 5 | 6"
226. "I black move south bump then black move east bump right then black move north bump left then black move south | 6"
227. "I indigo born | 6"
228. "I black move east then black move north bump bottom died | 5 | 6"
229. "I indigo move west then indigo move west bump right bump left bump left then indigo move west then indigo move west | 6"
230. "I lime born | 6"
231. "I indigo move west then indigo move east then indigo move south bump right bump top bump top bump bottom died | 5 | 6"
232. "I lime move north bump top I yellow move south then lime move north then lime move south bump yellow marble move west | 6"
233. "I lime move east bump right bump right bump top bump right then lime move north then lime move west | 6"
234. "I pink move east then pink move north bump left then pink move north bump top bump right bump right | 6"
235. "I lime move north bump top I pink move south bump pink marble move east bump pink marble move east then lime move north | 6"
236. "I pink still bump left then pink move east then pink move west bump right then pink move east then pink move west | 6"
237. "I purple born | 6"
238. "I red move east bump right bump top bump bottom died | 5 | 6"
239. "I lime still bump left then lime move east then lime move west bump right bump right bump left bump left | 6"
240. "I yellow move north bump top I purple move south then yellow move south bump purple marble move south then yellow move west | 6"
241. "I coral move north bump top I pink move south bump top bump right then coral move east bump right | 6"
242. "I blue born | 6"
243. "I purple move south bump then purple move south then purple move east bump top bump bottom died | 5 | 6"
244. "I silver born | 6"
245. "I coral move south bump then coral move east bump right then coral move north then coral move north bump bottom died | 5 | 6"
246. "I blue still bump top I silver move south bump top bump top then blue move west bump silver marble move east | 6"
247. "I pink still bump right then pink move south bump left bump left bump left then pink move east then pink move west | 6"
248. "I cyan born | 6"
249. "I lime still bump left bump right bump left bump bottom died | 5 | 6"
250. "I brown born | 6"
251. "I silver move south bump bump top bump bottom died | 5 | 6"
252. "I blue move east then blue move west then blue move south then blue move west bump top then blue move east | 6"
253. "I cyan move west bump left then cyan move north bump top then cyan move north bump right then cyan move east | 6"
254. "I cyan move east bump right bump right bump right then cyan move west bump right bump top then cyan move south | 6"
255. "I teal born | 6"
