Enhanced Marble Language Dataset - Generated on 2025-05-30 23:10:55
================================================================================

Dataset Statistics:
  Total sentences: 1000
  Unique colors used: 20
  Wall collisions: 0
  Marble collisions: 0
  Average sentence length: 7.7 tokens

Sentences:
----------------------------------------
1. ""
2. "I gold move south bump left"
3. "I orange move east bump teal move north"
4. "I red move south"
5. "I white move east bump pink move west"
6. "I black move north bump right then cyan move north"
7. "I lime move west bump silver move south then blue move west"
8. "I red move west bump top I teal"
9. "I indigo move east bump pink move north"
10. "I navy move east"
11. "I cyan move west bump silver move east"
12. "I violet move north bump right"
13. "I gray move north then indigo move west"
14. "I silver still"
15. "I pink move west bump blue move east"
16. "I brown move east"
17. "I coral move south"
18. "I yellow move east bump black move east"
19. "I green still"
20. "I blue move south bump right"
21. "I purple move south bump right"
22. "I orange move west bump left then orange move north"
23. "I brown move east bump bottom"
24. "I coral move north bump top I cyan"
25. "I violet move west bump top"
26. "I pink still"
27. "I lime still"
28. "I indigo still"
29. "I violet move west"
30. "I white move south bump coral move west"
31. "I pink move north bump bottom"
32. "I violet move south bump pink move west"
33. "I gray move south bump teal move west"
34. "I teal move west"
35. "I lime move west bump orange move north"
36. "I black move east bump red move south"
37. "I white move north bump top then teal move south"
38. "I orange move east bump left then navy move north"
39. "I yellow move south"
40. "I orange move west bump bottom"
41. "I red move east bump top I lime"
42. "I teal move south bump bottom"
43. "I purple move north bump top I pink"
44. "I pink move west bump left then gray move south"
45. "I teal move north bump bottom then black move south"
46. "I green move north bump bottom"
47. "I green move south bump brown move east"
48. "I gold move north bump pink move north"
49. "I violet move north"
50. "I pink move north"
51. "I yellow move east bump bottom"
52. "I cyan move south"
53. "I purple move north bump black move south"
54. "I navy move east bump bottom then coral move north"
55. "I silver move west bump top then lime move west"
56. "I violet move south bump teal move east"
57. "I yellow move west bump right then orange move east"
58. "I lime move south bump bottom then violet move south"
59. "I violet move north bump top I brown"
60. "I red move east bump top I cyan"
61. "I coral move south bump bottom"
62. "I yellow move south bump top I gray"
63. "I yellow move west bump bottom"
64. "I pink move north bump top I indigo"
65. "I red move north bump bottom"
66. "I coral move west bump lime move west"
67. "I lime move north bump top I white"
